Punto;Este;Norte;LAEQ;;;
1;2784285923;8661416842;660574055;2.784.285.924;8.661.416.843;660.574.056
2;2784438365;8661416842;655829979;2.784.438.366;8.661.416.843;655.829.980
3;2786130076;8661416842;7079693793;2.786.130.077;8.661.416.843;7.079.693.794
4;2785679852;8661544512;6896264177;2.785.679.853;8.661.544.513;6.896.264.178
5;2784968059;8661436099;613140731;2.784.968.060;8.661.436.100;613.140.732
6;2788278333;8661459156;7066009138;2.788.278.334;8.661.459.157;7.066.009.139
7;2783509809;8662374608;7574587907;2.783.509.810;8.662.374.609;7.574.587.908
8;2783740622;8661852707;7166435626;2.783.740.623;8.661.852.708;7.166.435.627
9;2781576358;8661404436;7190153112;2.781.576.359;8.661.404.437;7.190.153.113
10;2782262881;8661175659;6279031119;2.782.262.882;8.661.175.660;6.279.031.120
11;2782997709;8661416842;7103567909;2.782.997.710;8.661.416.843;7.103.567.910
12;2783988682;8660745301;6630196497;2.783.988.683;8.660.745.302;6.630.196.498
13;2785621475;8660761542;6715463508;2.785.621.476;8.660.761.543;6.715.463.509
14;2787562254;8661206088;6670698927;2.787.562.255;8.661.206.089;6.670.698.928
15;2787377172;8662021155;7285566865;2.787.377.173;8.662.021.156;7.285.566.866
16;2786785787;8661870253;7724602277;2.786.785.788;8.661.870.254;7.724.602.278
17;2782582575;8662008434;7005232053;2.782.582.576;8.662.008.435;7.005.232.054
18;2782139918;8661416842;6793436322;2.782.139.919;8.661.416.843;6.793.436.323
19;278147976;8661416842;6820750564;278.147.977;8.661.416.843;6.820.750.565
20;2789294314;8662555436;6472642477;2.789.294.315;8.662.555.437;6.472.642.478
21;2789664336;8662530089;6236730814;2.789.664.337;8.662.530.090;6.236.730.815
22;279045958;8662533142;7442360199;279.045.959;8.662.533.143;7.442.360.200
23;2790073141;8661416842;7114427055;2.790.073.142;8.661.416.843;7.114.427.056
24;2792095977;8662382452;7094216572;2.792.095.978;8.662.382.453;7.094.216.573
25;2792095977;8662177198;6844787647;2.792.095.978;8.662.177.199;6.844.787.648
26;2793248817;8662626553;6362880103;2.793.248.818;8.662.626.554;6.362.880.104
27;2793530923;8662574286;713575049;2.793.530.924;8.662.574.287;713.575.050
28;2791224615;8662187101;6932650918;2.791.224.616;8.662.187.102;6.932.650.919
29;2789191029;8661416842;7318922512;2.789.191.030;8.661.416.843;7.318.922.513
30;2789609822;8661922854;7345577357;2.789.609.823;8.661.922.855;7.345.577.358
31;2791477492;8661952215;7396053066;2.791.477.493;8.661.952.216;7.396.053.067
32;2796507523;8662353896;6804051135;2.796.507.524;8.662.353.897;6.804.051.136
33;2797346546;8662333966;6944622209;2.797.346.547;8.662.333.967;6.944.622.210
34;279428932;8661661487;7171798453;279.428.933;8.661.661.488;7.171.798.454
35;2793597437;8661817642;6851380861;2.793.597.438;8.661.817.643;6.851.380.862
36;2792687642;8661255789;7324412446;2.792.687.643;8.661.255.790;7.324.412.447
37;2789487234;8661187971;7286283131;2.789.487.235;8.661.187.972;7.286.283.132
38;277190181;8662387779;7174598436;277.190.182;8.662.387.780;7.174.598.437
39;2773427241;8662219092;751414981;2.773.427.242;8.662.219.093;751.414.982
40;2780816329;8661798852;6534310243;2.780.816.330;8.661.798.853;6.534.310.244
41;2778502594;8661561884;7156360754;2.778.502.595;8.661.561.885;7.156.360.755
42;2773987076;8661637238;7111243659;2.773.987.077;8.661.637.239;7.111.243.660
43;2778589194;8661882762;6357779549;2.778.589.195;8.661.882.763;6.357.779.550
44;2776770109;8662123527;6275815649;2.776.770.110;8.662.123.528;6.275.815.650
45;2775978061;8662044013;7136109983;2.775.978.062;8.662.044.014;7.136.109.984
46;2774474938;8661967872;6599232956;2.774.474.939;8.661.967.873;6.599.232.957
47;2771985837;8661916698;6500184788;2.771.985.838;8.661.916.699;6.500.184.789
48;2769646333;8661926759;6311284027;2.769.646.334;8.661.926.760;6.311.284.028
49;2768378455;8661967297;6701683312;2.768.378.456;8.661.967.298;6.701.683.313
50;2767433427;8661453507;6983173305;2.767.433.428;8.661.453.508;6.983.173.306
51;2769464122;8661226955;7454795961;2.769.464.123;8.661.226.956;7.454.795.962
52;2776098429;8661034959;6537187905;2.776.098.430;8.661.034.960;6.537.187.906
53;2776098429;8661416842;6767623502;2.776.568.300;8.661.416.843;6.767.623.503
54;2776098429;8661262784;6605469555;2.776.568.300;8.661.262.785;6.605.469.556
